,"MPSSAA Basketball History of Finalists, 1947-2024",,,,,,
,GIRLS,,,,BOYS,,
,TEAM,YEAR,Final Standing,,TEAM,YEAR,Standing
,PARKSIDE,1995, Semifinalist,,BETHESDA-CHEVY CHASE,1970, Finalist
,POCOMOKE,1995, Semifinalist,,FREDERICK,1970, Finalist
,SOUTH HAGERSTOWN,1995, Semifinalist,,LANSDOWNE,1970, Finalist
,C. MILTON WRIGHT,1995, Semifinalist,,MOUNT SAVAGE,1970, Finalist
,MOUNT HEBRON,1995, Finalist,,STEPHEN DECATUR,1970, Champion
,SOUTHERN (G),1995, Finalist,,DUVAL,1970, Champion
,WESTERN (B),1995, Champion,,FAIRMONT HEIGHTS,1970, Champion
,WALT WHITMAN,1995, Champion,,GWYNN PARK,1970, Champion
,WILDE LAKE,1995, Champion,,ARUNDEL,1971, Semifinalist
,DOUGLASS (PG),1996,Semifinalist,,DUNDALK,1971, Semifinalist
,GAITHERSBURG,1996,Semifinalist,,HOWARD COUNTY,1971, Semifinalist
,HOWARD,1996,Semifinalist,,HENRY E. LACKEY,1971, Semifinalist
,HAMMOND,1996,Finalist,,MOUNT SAVAGE,1971, Semifinalist
,HAVRE DE GRACE,1996,Finalist,,PERRYVILLE,1971, Semifinalist
,ARUNDEL,1996,Champion,,SOUTHERN (AA),1971, Semifinalist
,BRUNSWICK,1996,Champion,,SOUTHERN (G),1971, Semifinalist
,LINGANORE,1996,Champion,,ATHOLTON,1971, Finalist
,NORTH CAROLINE,1996, Semifinalist,,GWYNN PARK,1971, Finalist
,PERRY HALL,1996, Semifinalist,,WALT WHITMAN,1971, Finalist
,WASHINGTON,1996, Semifinalist,,FAIRMONT HEIGHTS,1971, Champion
,C. MILTON WRIGHT,1996, Semifinalist,,PARKDALE,1971, Champion
,SHERWOOD,1996, Finalist,,POCOMOKE,1971, Champion
,WESTMAR,1996, Finalist,,ROCKVILLE,1971, Champion
,RICHARD MONTGOMERY,1996, Champion,,ANNAPOLIS,1972, Semifinalist
,ANNAPOLIS,1997,Semifinalist,,CALVERT COUNTY,1972, Semifinalist
,FALLSTON,1997,Semifinalist,,CENTRAL (PG),1972, Semifinalist
,FRIENDLY,1997,Semifinalist,,FREDERICK,1972, Semifinalist
,HEREFORD,1997,Semifinalist,,HAVRE DE GRACE,1972, Semifinalist
,MARDELA,1997,Semifinalist,,MOUNT SAVAGE,1972, Semifinalist
,MONTGOMERY BLAIR,1997,Finalist,,RISING SUN,1972, Semifinalist
,CENTENNIAL,1997,Finalist,,TOWSON,1972, Semifinalist
,FRANCIS SCOTT KEY,1997,Champion,,BLADENSBURG,1972, Finalist
,LARGO,1997,Champion,,POCOMOKE,1972, Finalist
,LINGANORE,1997,Champion,,SOUTHERN (AA),1972, Finalist
,RISING SUN,1997, Semifinalist,,WASHINGTON,1972, Finalist
,TOWSON,1997, Semifinalist,,GWYNN PARK,1972, Champion
,WESTERN (B),1997, Semifinalist,,NORTH HAGERSTOWN,1972, Champion
