"X","X.1","X.2","X.3","X.4","X.5","Totals","Totals.1","Totals.2","Totals.3","Totals.4","Shooting","Shooting.1","Shooting.2","Per.Game","Per.Game.1","Per.Game.2","Per.Game.3","Advanced","Advanced.1","Advanced.2","Advanced.3","Team"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","CHI"
"1974","NBA","1","14","Maurice Lucas","Marquette","855","24787","12339","7520","1987",".473","",".763","29.0","14.4","8.8","2.3","58.7",".114","-0.3","10.6","CHI"
"1974","NBA","1","16","Cliff Pondexter","Cal State Long Beach","197","2856","778","747","218",".416","",".667","14.5","3.9","3.8","1.1","4.7",".079","-0.6","1.0","CHI"
"1974","NBA","2","27","Leon Benbow","Jacksonville University","115","1838","628","214","183",".394","",".759","16.0","5.5","1.9","1.6","1.7",".044","-2.5","-0.2","CHI"
"1974","NBA","3","52","Bobby Wilson","Wichita State","143","1498","792","167","110",".426","",".773","10.5","5.5","1.2","0.8","1.7",".053","-2.2","-0.1","CHI"
"1974","NBA","4","70","Jim Forbes","Texas-El Paso","","","","","","","","","","","","","","","","","CHI"
"1974","NBA","5","88","Randy Knowles","Texas A&M","","","","","","","","","","","","","","","","","CHI"
"1974","NBA","6","106","Robert Rosier","St. Thomas University","","","","","","","","","","","","","","","","","CHI"
"1974","NBA","7","124","Geoff Roberts","Missouri","","","","","","","","","","","","","","","","","CHI"
"1974","NBA","8","142","Sam McCants","Oral Roberts","","","","","","","","","","","","","","","","","CHI"
"1974","NBA","9","159","Jerry Davenport","Cameron University","","","","","","","","","","","","","","","","","CHI"
"1974","NBA","10","176","Rick Hockenos","Saint Francis University","","","","","","","","","","","","","","","","","CHI"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","CHI"
"1973","NBA","1","12","Kevin Kunnert (↳BUF)","Iowa","555","12104","4602","4031","784",".476","",".682","21.8","8.3","7.3","1.4","22.0",".087","-1.2","2.4","CHI"
"1973","NBA","2","24","Kevin Stacom","Providence","347","4539","1781","511","524",".417","",".768","13.1","5.1","1.5","1.5","3.1",".032","-2.7","-0.8","CHI"
"1973","NBA","2","30","Wendell Hudson","Alabama","","","","","","","","","","","","","","","","","CHI"
"1973","NBA","3","39","Martin Terry","Arkansas","","","","","","","","","","","","","","","","","CHI"
"1973","NBA","3","47","Steve Newsome","Houston","","","","","","","","","","","","","","","","","CHI"
"1973","NBA","4","64","Mark Sibley","Northwestern","28","124","46","25","13",".357","",".857","4.4","1.6","0.9","0.5","-0.2","-0.065","-5.7","-0.2","CHI"
"1973","NBA","5","81","Roy Simpson","Furman University","","","","","","","","","","","","","","","","","CHI"
"1973","NBA","6","98","Johnny Neumann","Ole Miss","83","1153","464","86","168",".406","",".686","13.9","5.6","1.0","2.0","-0.1","-0.006","-4.9","-0.8","CHI"
"1973","NBA","7","115","Billy Harris","Northern Illinois","","","","","","","","","","","","","","","","","CHI"
"1973","NBA","8","132","J. G. Brosterhous","Texas","","","","","","","","","","","","","","","","","CHI"
"1973","NBA","9","147","Ruben Montanez","Duquesne","","","","","","","","","","","","","","","","","CHI"
"1973","NBA","10","161","Russ Hunt","Furman University","","","","","","","","","","","","","","","","","CHI"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","CHI"
"1972","NBA","1","11","Ralph Simpson","Michigan State","217","3980","1832","445","479",".404","",".724","18.3","8.4","2.1","2.2","0.7",".008","-3.0","-1.0","CHI"
"1972","NBA","3","35","Frank Russell","Detroit Mercy","23","131","74","17","15",".377","",".889","5.7","3.2","0.7","0.7","0.1",".030","","","CHI"
"1972","NBA","3","45","Chuck Jura","Nebraska","","","","","","","","","","","","","","","","","CHI"
"1972","NBA","4","62","Ted Martiniuk","Saint Peter's College","","","","","","","","","","","","","","","","","CHI"
"1972","NBA","5","78","Rowland Garrett","Florida State","263","2905","1337","607","106",".441","",".772","11.0","5.1","2.3","0.4","5.4",".089","-2.0","0.0","CHI"
"1972","NBA","6","95","Mike Stewart","Santa Clara","","","","","","","","","","","","","","","","","CHI"
"1972","NBA","7","112","Jerry Pender","Fresno State","","","","","","","","","","","","","","","","","CHI"
"1972","NBA","8","128","Cavin Andersen","Valley City State University","","","","","","","","","","","","","","","","","CHI"
"1972","NBA","9","142","Ralph Houston","West Texas A&M University","","","","","","","","","","","","","","","","","CHI"
